Endonex 36 EC	İnsektisitler	Sıvı Formülasyonlar	12.12.2001	4039	Endosulfan	360 g/l	Agro Altın	
Nurelle D 50/500	İnsektisitler	Sıvı Formülaasyonlar	13.04.1995	2810	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Dow AgroSciences	
Perfect 550	İnsektisitler	Sıvı Formülasyonlar	03.02.1997	3087	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Koruma	
Matador Mix 50/500 EC	İnsektisitler	Sıvı Formülasyonlar	17.06.1997	3185	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Doğal	
Arriban 55 EC	İnsektisitler	Sıvı Formülasyonlar	09.07.1998	3441	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Hektaş	
Direct 50/500 EC	İnsektisitler	Sıvı Formülasyonlar	19.09.2000	3826	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Agro-San	
Symbolic 50/500 Ec	İnsektisitler	Sıvı Formülasyonlar	02.04.2001	3926	Chlorpyrifos-Ethyl+Cypermet	500+50 g/l	Tezcan	
Reldan 22 E	İnsektisitler	Sıvı Formülasyonlar	26.09.1985	1827	Chlorpyrifos-Methyl	227 g/l	Dow AgroSciences	
Bazinon 20 EM	İnsektisitler	Sıvı Formülasyonlar	22.03.1973	859	Diazinon	185 g/l	Koruma	
Kimyagerler Bazudin	İnsektisitler	Sıvı Formülasyonlar	16.03.1975	1255	Diazinon	185 g/l	Kimyagerler	
Diazudin 20 EC	İnsektisitler	Sıvı Formülasyonlar	23.12.1982	1549	Diazinon	185 g/l	Midiltipi	
Hekzudin 20 EM	İnsektisitler	Sıvı Formülasyonlar	07.08.1984	1681	Diazinon	185 g/l	Takimsan	
Hezudin 20 eM	İnsektisitler	Sıvı Formülasyonlar	23.08.1984	1702	Diazinon	185 g/l	Hektaş	
Basudin 20 EM	İnsektisitler	Sıvı Formülasyonlar	24.08.1984	1706	Diazinon	185 g/l	Syngenta	
Adizon 20 EC	İnsektisitler	Sıvı Formülasyonlar	19.12.1984	1722	Diazinon	185 g/l	Atabay	
Diazol 20 EC	İnsektisitler	Sıvı Formülasyonlar	29.09.1987	2049	Diazinon	185 g/l	Agro-San	
Dekzinon 185 EC	İnsektisitler	Sıvı Formülasyonlar	18.12.1987	2072	Diazinon	185 g/l	Atabay Kimya	
Polinon 20 EM	İnsektisitler	Sıvı Formülasyonlar	28.01.1988	2116	Diazinon	185 g/l	Polisan	
Arızinon 20 EC	İnsektisitler	Sıvı Formülasyonlar	06.01.1989	2262	Diazinon	185 g/l	Arı Kimya	
Bazimidol 20 EC	İnsektisitler	Sıvı Formülasyonlar	06.02.1995	2796	Diazinon 	185 g/l	İzmir Kimya	
İlteriş Diazinon 20 EC	İnsektisitler	Sıvı Formülasyonlar	23.05.1996	2943	Diazinon	185 g/l	İlteriş	
Cansa Diazinon 20 EC	İnsektisitler	Sıvı Formülasyonlar	29.07.1997	3228	Diazinon	185 g/l	Cansa	
Dart 20 EC	İnsektisitler	Sıvı Formülasyonlar	15.06.1998	3429	Diazinon	185 g/l	Doğal	
Akzinon 20 EM	İnsektisitler	Sıvı Formülasyonlar	20.08.1996	2990	Diazinon 	185 g/l	Aydın Kimya	
Bazinon 63 EM	İnsektisitler	Sıvı Formülasyonlar	09.04.1973	886	Diazinon	630 g/l	Koruma	
Hezudin 63 EM	İnsektisitler	Sıvı Formülasyonlar	30.11.1982	1543	Diazinon	630 g/l	Hektaş	
Basudin 60 EM	İnsektisitler	Sıvı Formülasyonlar	07.04.1983	1576	Diazinon	630 g/l	Syngenta	
Hekzudin 63 EM	İnsektisitler	Sıvı Formülasyonlar	07.08.1984	1682	Diazinon	630 g/l	Takimsan	
Diazol 60 EC	İnsektisitler	Sıvı Formülasyonlar	18.09.1985	1787	Diazinon	630 g/l	Agro-San	
Arizinon 63 EC	İnsektisitler	Sıvı Formülasyonlar	13.02.1989	2278	Diazinon	630 g/l	Arı Kimya	
Flozinon 63 EC	İnsektisitler	Sıvı Formülasyonlar	19.04.1995	2812	Diazinon	630 g/l	Flogaz	
Polinon 63 EC	İnsektisitler	Sıvı Formülasyonlar	22.05.1998	3418	Diazinon	630 g/l	Polisan	
Dart 60 EC	İnsektisitler	Sıvı Formülasyonlar	08.09.1998	3484	Diazinon	630 g/l	Doğal	
Bayer DDVP EC 550	İnsektisitler	Sıvı Formülasyonlar	22.09.1965	427	Dichlorvos	550 g/l	Bayer	
Bayer DDVP EC 550	İnsektisitler	Sıvı Formülasyonlar	15.06.1966	481	Dichlorvos	550 g/l	Bayer	
Koruma DDVP 55 EM	İnsektisitler	Sıvı Formülasyonlar	02.06.1973	882	Dichlorvos	550 g/l	Koruma	
Midiltipi DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	04.05.1977	1095	Dichlorvos	550 g/l	Midiltipi	
Atabay  DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	25.03.1982	1496	Dichlorvos	550 g/l	Atabay	
Didifos 55 EC	İnsektisitler	Sıvı Formülasyonlar	25.03.1982	1579	Dichlorvos	550 g/l	Hektaş	
Nogos 50 EC	İnsektisitler	Sıvı Formülasyonlar	25.01.1984	1629	Dichlorvos	550 g/l	Syngenta	
Hedefos 55 EC	İnsektisitler	Sıvı Formülasyonlar	07.08.1984	1679	Dichlorvos	550 g/l	Takimsan	
İlteriş DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	05.04.1985	1764	Dichlorvos	550 g/l	İlteriş	
Agro-DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	18.09.1985	1808	Dichlorvos	550 g/l	Agro-San	
Özer DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	11.09.1986	1939	Dichlorvos	550 g/l	Ür-Pa	
Kimyagerler DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	27.04.1987	2004	Dichlorvos	550 g/l	Kimyagerler	
Arı DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	12.08.1988	2183	Dichlorvos	550 g/l	Arı Kimya	
Poli DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	13.02.1989	2280	Dichlorvos	550 g/l	Polisan	
İzo-DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	02.12.1993	2678	Dichlorvos	550 g/l	İzmir Kimya	
Festline DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	04.07.1994	2739	Dichlorvos	550 g/l	Doğal	
MRK DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	06.11.1995	2855	Dichlorvos	550 g/l	Cansa	
Denkavepon 50 EC	İnsektisitler	Sıvı Formülasyonlar	20.05.1996	2936	Dichlorvos	550 g/l	Agrikem	
Aydın DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	21.09.1996	2962	Dichlorvos	550 g/l	Aydın Kimya	
Adeko DDVP 50 EC	İnsektisitler	Sıvı Formülasyonlar	11.11.1996	3040	Dichlorvos	550 g/l	Adeko	
Didivip 550 EC	İnsektisitler	Sıvı Formülasyonlar	19.02.1997	3094	Dichlorvos	550 g/l	Agrikem	
Cansa DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	25.06.1997	3197	Dichlorvos	550 g/l	Cansa	
Ödül DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	27.06.1997	3203	Dichlorvos	550 g/l	Ödül İlaç	
Safa DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	21.11.1997	3288	Dichlorvos	550 g/l	Safa	
Sönmez DDVP 55 EM	İnsektisitler	Sıvı Formülasyonlar	11.12.1998	3546	Dichlorvos	550 g/l	Sönmez İlaç	
Farmatek DDVP 550 EC	İnsektisitler	Sıvı Formülasyonlar	03.03.1999	3589	Dichlorvos	550 g/l	Farmatek	
Dedevap 1000 EC	İnsektisitler	Sıvı Formülasyonlar	25.05.1977	1096	Dichlorvos	1000 g/l	Bayer	
Bicron 24 EC	İnsektisitler	Sıvı Formülasyonlar	13.02.1985	1749	Dicrotophos	240 g/l	Hektaş	
Korumagor 40  EC	İnsektisitler	Sıvı Formülasyonlar	18.02.1975	971	Dimethoate	400 g/l	Koruma	
Mitigor 40 EC	İnsektisitler	Sıvı Formülasyonlar	11.05.1978	1153	Dimethoate	400 g/l	Midiltipi	
Heligor 	İnsektisitler	Sıvı Formülasyonlar	07.08.1984	1683	Dimethoate	400 g/l	Takimsan	
Poligor	İnsektisitler	Sıvı Formülasyonlar	07.05.1991	2436	Dimethoate	400 g/l	Hektaş	
Afitrex % 40 EC	İnsektisitler	Sıvı Formülasyonlar	22.07.1991	2458	Dimethoate	400 g/l	Atabay	
Dimeton 40 EC	İnsektisitler	Sıvı Formülasyonlar	08.03.1989	2290	Dimethoate	400 g/l	Agro-San	
Taror 40 EC	İnsektisitler	Sıvı Formülasyonlar	01.09.1986	1944	Dimethoate	400 g/l	Tarımsan	
İzbor 40 EC	İnsektisitler	Sıvı Formülasyonlar	08.01.1988	2094	Dimethoate	400 g/l	Polisan	
Kemidon 40 EC	İnsektisitler	Sıvı Formülasyonlar	13.01.1988	2100	Dimethoate	400 g/l	Kimyagerler	
Afidrex 40 EC	İnsektisitler	Sıvı Formülasyonlar	08.04.1992	2538	Dimethoate	400 g/l	Basf	
Trigon 400 EC	İnsektisitler	Sıvı Formülasyonlar	20.12.1984	1733	Dimethoate	400 g/l	Atabay	
Afidrex  40 EC	İnsektisitler	Sıvı Formülasyonlar	01.03.1996	2895	Dimethoate	400 g/l	Basf	
Romethoate 40 EC	İnsektisitler	Sıvı Formülasyonlar	23.12.1996	3061	Dimethoate	400 g/l	Özkan	
Cansagor 40 EC	İnsektisitler	Sıvı Formülasyonlar	10.07.1997	3214	Dimethoate	400 g/l	Cansa	
Demethion 40 EC	İnsektisitler	Sıvı Formülasyonlar	10.11.1997	3285	Dimethion	400 g/l	Agrikem	
Safagor 40 EC	İnsektisitler	Sıvı Formülasyonlar	08.07.1997	3440	Dimethoate	400 g/l	Safa	
Dumble 40 EC	İnsektisitler	Sıvı Formülasyonlar	06.03.2000	3734	Dimethoate	400 g/l	Doğal	
Dimegor 40 EC	İnsektisitler	Sıvı Formülasyonlar	24.08.2000	3814	Dimethoate	400 g/l	Agro Altın	
Hektaş Delnav	İnsektisitler	Sıvı Formülasyonlar	14.06.1967	536	Dioxathion	240 g/l	Hektaş	
Koksathion 25 EC	İnsektisitler	Sıvı Formülasyonlar	19.01.1973	831	Dioxathion	240 g/l	Koruma	
Koruma EPN EC	İnsektisitler	Sıvı Formülasyonlar	07.10.1988	2202	EPN	490 g/l	Koruma	
Rodakor 50 EC	İnsektisitler	Sıvı Formülasyonlar	02.06.1983	1587	Ethion	500 g/l	Koruma	
Rothion EC	İnsektisitler	Sıvı Formülasyonlar	26.03.1991	2430	Ethion	500 g/l	Hektaş	
Sumol 500 EC	İnsektisitler	Sıvı Formülasyonlar	26.05.1986	1909	Ethion	500 g/l	Atabay	
Rhodocide	İnsektisitler	Sıvı Formülasyonlar	17.08.1988	2187	Ethion	500 g/l	Polisan	
Ethosan 50 EC	İnsektisitler	Sıvı Formülasyonlar	07.10.1988	2205	Ethion	500 g/l	Agro-San	
Fitios	İnsektisitler	Sıvı Formülasyonlar	06.08.1973	899	Ethoate-Methyl	420 g/l	Hektaş	
Komityon % 3 Dust	İnsektisitler	Toz Formülasyonlar	23.02.1976	1012	Fenitrothion	% 3	Koruma	
Rovithion % 3 Toz	İnsektisitler	Toz Formülasyonlar	26.03.1982	1502	Fenitrothion	% 3	Midiltipi	
Nition 3 Dust	İnsektisitler	Toz Formülasyonlar	15.04.1982	1504	Fenitrothion	% 3	Hektaş	
Taktion 3 Toz	İnsektisitler	Toz Formülasyonlar	15.09.1985	1943 	Fenitrothion	% 3	Takimsan	
Feniton %3 Toz	İnsektisitler	Toz Formülasyonlar	18.09.1985	1801	Fenitrothion	% 3	Agro-San	
Kimyan 3 Dust	İnsektisitler	Toz Formülasyonlar	25.12.1987	2078	Fenitrothion	% 3	Kimyagerler	
Adion 3 Dust	İnsektisitler	[null]	15.11.1996	3042	Fenitrothion	% 3	Berko	
Sathion 3 Dust	İnsektisitler	Toz Formülasyonlar	29.12.1997	3310	Fenitrothion	% 3	Safa	
Komityon 40 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	31.03.1973	864	Fenitrothion	% 40	Koruma	
Komityon 55 EC	İnsektisitler	Sıvı Formulasyonlar	29.09.1969	661	Fenitrothion	550 g/l	Koruma	
Nition EM	İnsektisitler	Sıvı Formülasyonlar	24.06.1970	685	Fenitrothion	550 g/l	Hektaş	
Rovithion 50 EC	İnsektisitler	Sıvı Formülasyonlar	01.12.1982	1544	Fenitrothion	550 g/l	Midiltipi	
Feniton 50 EC	İnsektisitler	Sıvı Formülasyonlar	18.09.1985	1803	Fenitrothion	550 g/l	Agro-San	
Taktion 55 EM	İnsektisitler	Sıvı Formülasyonlar	18.03.1989	2289	Fenitrothion	550 g/l	Takimsan	
Ferathion 50 EC	İnsektisitler	Sıvı Formülasyonlar	09.12.1991	2494	Fenitrotion	550 g/l	Polisan	
Adion 550 EC 	İnsektisitler	Sıvı Formülasyonlar	09.06.1997	3180	Fenitrothion	550 g/l	Berko	
Kimyan 50 EC	İnsektisitler	Sıvı Formülasyonlar	20.06.1997	3192	Fenitrothion	550 g/l	Kimyagerler	
Ödül Fenitrothion 550 EC	İnsektisitler	Sıvı Formülasyonlar	27.10.1998	3525	Fenitrothion	550 g/l	Ödül	
Novathion 95 UlV	İnsektisitler	ULV Formülasyonlar	31.07.1971	755	Fenitrothion	950 g/l	Hektaş	
Komityon 95 UlV	İnsektisitler	ULV Formülasyonlar	08.06.1989	2314	Fenitrothion	950 g/l	Koruma	
Feniton 95 UlV	İnsektisitler	ULV Formülasyonlar	06.02.1992	2519	Fenitrothion	950 g/l	Agro-San	
Sumithion l-40	İnsektisitler	ULV Formülasyonlar	29.11.1991	2492	Fenitrothion	400 g/l	Sumitomo	
Komityon 40 UlV	İnsektisitler	ULV Formülasyonlar	18.05.1989	2309	Fenitrothion	400 g/l	Koruma	
Nition UlV 400	İnsektisitler	ULV Formülasyonlar	21.03.1989	2293	Fenitrothion	400 g/l	Hektaş	
Taktion UlV 400	İnsektisitler	ULV Formülasyonlar	09.06.1998	3424	Fenitrothion	400 g/l	Takimsan	
lebaycid Toz % 3	İnsektisitler	Toz Formülasyonlar	28.08.1967	554	Fenthion	% 3	Bayer	
lebaycid EC 50	İnsektisitler	Sıvı Formülasyonlar	01.02.1966	452	Fenthion	535 g/l	Bayer	
lebaycid EC 50	İnsektisitler	Sıvı Formülasyonlar	29.06.1977	1106	Fenthion	525 g/l	Bayer	
Korfen 50 EM	İnsektisitler	Sıvı Formülasyonlar	02.12.1983	1623	Fenthion	525 g/l	Koruma	
Tarphencyd 50 EC	İnsektisitler	Sıvı Formülasyonlar	08.01.1988	2095	Fenthion	525 g/l	Tarımsan	
Dragon EC 50	İnsektisitler	Sıvı Formülasyonlar	26.05.1995	2820	Fenthion	525 g/l	Doğal	
Dentex 50 EM	İnsektisitler	Sıvı Formülasyonlar	03.11.1998	3533 	Fenthion	525 g/l	Safa	
Finest 525 EC	İnsektisitler	Sıvı Formülasyonlar	02.03.2001	3917	Fenthion	525 g/l	Agro-San	
Anthio-33	İnsektisitler	Sıvı Formülasyonlar	16.09.1972	814	Formothion	336 g/l	Syngenta	
Oftanol DS 40	İnsektisitler	Toz Formülasyonlar	10.11.1995	2859	Isophenphos	% 40	Bayer	
Kimyagerler Malathion Dust 2	İnsektisitler	Toz Formülasyonlar	16.08.1967	550	Malathion	% 2	Kimyagerler	
Koruma Malthion Dust 2	İnsektisitler	Toz Formülasyonlar	21.10.1977	1116	Malathion	% 2 g/l	Koruma	
Midiltipi Malathion 2 toz	İnsektisitler	Toz Formülasyonlar	23.06.1987	1917	Malathion	% 2	Midiltipi	
Agro-Mathion % 2 Toz	İnsektisitler	Toz Formülasyonlar	18.12.1987	2071	Malathion	% 2	Agro-San	
Malathion Dust 2	İnsektisitler	Toz Formülasyonlar	01.07.1988	2168	Malathion	% 2	Takimsan	
Hekthion Dust 2	İnsektisitler	Toz Formülasyonlar	24.01.1990	2366	Malathion	% 2	Hektaş	
Mass Malathion %2 Toz	İnsektisitler	Toz Formülasyonlar	20.05.1996	2939	Malathion	% 2	Mass	
Can Malathion	İnsektisitler	Toz Formülasyonlar	25.08.1997	3246	Malathion	% 2	Cansa	
Gold Malathion 2 Dust 	İnsektisitler	Toz Formülasyonlar	15.04.1998	3388	Malathion	% 2	Safa	
Hekthion 5	İnsektisitler	Toz Formülasyonlar	15.08.1967	548	Malathion	% 5 	Hektaş	
Koruma Malathion Dust %5	İnsektisitler	Toz Formülasyonlar	12.08.1969	656	Malathion	% 5	Koruma	
Malathion 5 Dust	İnsektisitler	Toz Formülasyonlar	22.11.1983	1620	Malathion	% 5	Kimyagerler	
Malathoz 5 Toz	İnsektisitler	Toz Formülasyonlar	21.07.1986	1923	Malathion	% 5	Midiltipi	
Malathion WP	İnsektisitler	Islanabilir Toz Formülasyonlar	04.04.1964	306	Malathion	% 25	Koruma	
Hekthion WP 25	İnsektisitler	Islanabilir Toz Formülasyonlar	17.11.1996	506	Malathion	% 25	Hektaş	
Malathion % 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	26.10.1967	566	Malathion	% 25	Kimyagerler	
Malathio 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	11.04.1974	933	Malathion	% 25	Midiltipi	
Orel 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	20.03.1997	3116	Malathion	% 25	Doğal	
Gold Malathion 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	24.04.1998	3393	Malathion	% 25	Safa	
Agro-Malathion 25 WP	İnsektisitler	Islanabilir Toz Formülasyonlar	01.08.2000	3801	Malathion	% 25	Agro-San	
Hekthion 20 EM	İnsektisitler	Sıvı Formülasyonlar	30.11.1965	437	Malation 	190 g/l	Hektaş	
Malathion 20 Emülsiyon	İnsektisitler	Sıvı Formülasyonlar	28.08.1967	553	Malathion	190 g/l	Midiltipi	
Atabay Malathion 20 EC	İnsektisitler	Sıvı Formülasyonlar	09.04.1984	1658	Malathion	190 g/l	Atabay	
Malathon 20 EM	İnsektisitler	Sıvı Formülasyonlar	07.08.1984	1689	Malathion	190 g/ l	Takimsan	
Agro-Malathion 20 EC	İnsektisitler	Sıvı Formülasyonlar	18.09.1985	1821	Malathion	190 g/l	Agro-San	
Malaxon 20 EC	İnsektisitler	Sıvı Formülasyonlar	09.03.1988	2144	Malathion	190 g/l	Polisan	
Çiem-Malathion 20 EC	İnsektisitler	Sıvı Formülasyonlar	11.07.1996	2975	Malathion	190 g/l	Aydın Kimya	
İzo-Malathion 20 EC	İnsektisitler	Sıvı Formülasyonlar	19.08.1996	2988	Malathion	190 g/l	İzmir Kimya	
Malapaz 20 EC	İnsektisitler	Sıvı Formülasyonlar	16.10.1996	3023	Malathion	190 g/l	En-Ta	
Safa Malathion 20 EC	İnsektisitler	Sıvı Formülasyonlar	15.09.1997	3261	Malathion	190 g/l	Safa	
Kimyagerler Malathion 20 EC	İnsektisitler	Sıvı Formülasyonlar	21.09.1998	3495	Malathion	190 g/l	Kimyagerler	
Ödül Malathion 190 EC	İnsektisitler	Sıvı Formülasyonlar	14.01.1999	3566	Malathion	190 g/l	Ödül	
Malathion %20 EM	İnsektisitler	Sıvı Formülasyonlar	18.09.2001	3992	Malathion	190 g/l	Koruma	
Sityon 	İnsektisitler	Sıvı Formülasyonlar	03.12.1971	769	Malathion	500 g/l	Koruma	
Malathol 60 Emülsiyon	İnsektisitler	Sıvı Formülasyonlar	03.03.1967	518	Malathion	650 g/l	Midiltipi	
Malathion 60 Emülsiyon	İnsektisitler	Sıvı Formülasyonlar	24.06.1968	603	Malathion	650 g/l	Kimyagerler	